"GAUGE ID","NSE","DOR"
"01011000",0.89,0.06
"01013500",0.9,0.0
"01015800",0.89,0.02
"01017000",0.9,0.04
"01019000",0.41,0.97
"01022500",0.84,0.02
"01030500",0.88,0.01
"01031500",0.84,0.01
"01034000",0.87,0.04
"01034500",0.83,0.17
"01038000",0.88,0.11
"01042500",0.59,0.74
"01046500",0.67,0.57
"01047000",0.81,0.01
"01048000",0.86,0.02
"01049000",0.89,0.06
"01049500",0.82,0.07
"01052500",0.8,0.0
"01053500",0.64,0.46
"01054000",0.73,0.35
"01054200",0.66,0.0
"01054500",0.81,0.24
"01055000",0.76,0.0
"01057000",0.87,0.08
"01059000",0.87,0.23
"01064500",0.84,0.0
"01066000",0.8,0.04
"01073000",0.81,0.0
"01073500",0.86,0.08
"01076500",0.83,0.01
"01078000",0.86,0.01
"01081000",0.76,0.46
"01089100",0.87,0.01
"01092000",0.92,0.11
"01094400",0.79,0.15
"01094500",0.73,0.17
"01096000",0.85,0.05
"01096500",0.77,0.53
"010965852",0.89,0.01
"01097000",0.91,0.07
"01097300",0.89,0.0
"01098530",0.83,0.3
"01099500",0.93,0.11
"01100000",0.92,0.13
"01100600",0.82,0.0
"01101000",0.9,0.03
"01101500",0.89,0.06
"01102000",0.85,0.12
"01102500",0.76,0.05
"01103500",0.91,0.03
"01104200",0.65,0.03
"01104500",0.65,0.11
"01105000",0.91,0.07
"01105500",0.84,0.07
"01105600",0.83,0.0
"01105730",0.84,0.02
"01105870",0.81,0.09
"01109000",0.82,0.04
"01109060",0.88,0.06
"01109403",0.9,0.16
"01110000",0.82,0.02
"01111500",0.82,0.16
"01112500",0.89,0.1
"01114000",0.81,0.07
"01114500",0.82,0.16
"01116000",0.73,0.08
"01116500",0.77,0.49
"01117000",0.86,0.0
"01117350",0.81,0.01
"01117420",0.86,0.01
"01117468",0.77,0.01
"01117500",0.94,0.01
"01117800",0.81,0.01
"01118000",0.86,0.04
"01118300",0.83,0.0
"01118500",0.92,0.02
"01119500",0.8,0.08
"01121000",0.76,0.04
"01122500",0.9,0.06
"01123000",0.78,0.01
"01124000",0.84,0.1
"01127000",0.89,0.07
"01127500",0.78,0.1
"01129200",0.5,0.61
"01134500",0.81,0.0
"01135500",0.9,0.0
"01137500",0.77,0.0
"01139000",0.86,0.04
"01139800",0.54,0.0
"01142500",0.79,0.0
"01144000",0.87,0.0
"01150900",0.7,0.02
"01151500",0.72,0.02
"01152500",0.79,0.08
"01153550",0.77,0.0
"01154500",0.87,0.09
"01161000",0.82,0.04
"01162000",0.78,0.17
"01162500",0.79,0.02
"01163200",0.84,0.06
"01166500",0.8,0.07
"01168500",0.72,0.25
"01169000",0.74,0.0
"01169900",0.62,0.01
"01170000",0.79,0.17
"01170100",0.73,0.0
"01170500",0.91,0.09
"01171500",0.79,0.06
"01172500",0.41,0.21
"01173000",0.69,0.13
"01173500",0.78,0.07
"01174500",0.83,0.01
"01175500",0.29,6.76
"01175670",0.8,0.02
"01176000",0.83,0.07
"01177000",0.82,1.92
"01181000",0.77,0.04
"01183500",0.8,0.14
"01184000",0.92,0.19
"01184100",0.61,0.01
"01184490",0.6,0.01
"01185500",0.83,0.21
"01186000",0.37,0.45
"01187300",0.79,0.01
"01188000",0.6,0.0
"01188090",0.81,0.44
"01189995",0.9,0.29
"01192500",0.79,0.1
"01192883",0.57,0.04
"01193500",0.72,0.01
"01195100",0.75,0.0
"01195490",0.76,0.02
"01196500",0.74,0.05
"01196620",0.68,0.01
"01197000",0.81,0.12
"01197500",0.86,0.11
"01199000",0.87,0.06
"01199050",0.76,0.18
"01200500",0.9,0.05
"01204000",0.76,0.02
"01205500",0.83,0.29
"01206900",0.61,0.21
"01208500",0.8,0.15
"01208873",0.79,0.09
"01208925",0.73,0.97
"01208950",0.81,0.0
"01208990",0.76,0.02
"01209700",0.78,0.04
"01303500",0.35,0.0
"01304000",0.62,0.02
"01304500",0.59,0.01
"01305000",-0.22,0.0
